"Date","Google","bing","Yahoo!","Ask Jeeves","Windows Live","Other"
2008-07,90.11,0,5.08,0.03,3.29,1.49
2008-08,90.69,0,4.7,0.29,2.64,1.68
2008-09,90.62,0,4.6,0.27,2.79,1.71
2008-10,90.7,0,4.6,0.25,2.75,1.7
2008-11,91.25,0,4.55,0.26,2.47,1.47
2008-12,90.8,0,4.78,0.27,2.74,1.41
2009-01,90.19,0,5,0.31,2.88,1.63
2009-02,89.38,0,4.87,0.36,3.68,1.72
2009-03,89.52,0,4.71,0.39,3.68,1.71
2009-04,91.28,0,3.92,0.34,2.93,1.53
2009-05,91.23,0,4.04,0.36,2.84,1.54
2009-06,91.61,4.21,3.44,0.31,0.02,0.4
2009-07,91.2,4.64,3.45,0.32,0,0.4
2009-08,91.2,4.72,3.4,0.35,0,0.34
2009-09,92,4.13,3.2,0.33,0,0.33
2009-10,92.45,3.95,2.94,0.35,0,0.31
2009-11,92.84,3.74,2.79,0.35,0,0.28
2009-12,92.64,3.78,2.93,0.38,0,0.27
2010-01,92.18,4.04,2.98,0.51,0,0.29
2010-02,92.45,4.04,2.73,0.51,0,0.27
2010-03,92.44,4.06,2.78,0.48,0,0.25
2010-04,92.53,3.95,2.79,0.47,0,0.26
2010-05,92.29,4.04,2.89,0.5,0,0.28
2010-06,92.23,4.13,2.88,0.5,0,0.26
2010-07,92.54,4.07,2.59,0.53,0,0.27
2010-08,92.93,3.93,2.39,0.48,0,0.26
2010-09,93.2,3.79,2.3,0.46,0,0.24
2010-10,93.03,3.91,2.37,0.49,0,0.2
2010-11,92.87,3.83,2.65,0.46,0,0.2
2010-12,92.76,3.85,2.73,0.45,0,0.21
2011-01,92.74,4.11,2.54,0.42,0,0.19
2011-02,92.48,4.26,2.53,0.41,0,0.31
2011-03,92.56,4.18,2.56,0.39,0,0.31
2011-04,92.39,4.33,2.58,0.4,0,0.3
2011-05,92.21,4.42,2.55,0.43,0,0.39
2011-06,92.67,3.88,2.59,0.38,0,0.47
2011-07,91.3,5.04,2.72,0.43,0,0.51
2011-08,91.27,5.07,2.76,0.39,0,0.5
2011-09,91.08,5.35,2.73,0.38,0,0.47
2011-10,91.07,5.49,2.64,0.4,0,0.41
2011-11,90.86,5.84,2.61,0.37,0,0.33
2011-12,90.86,5.83,2.68,0.39,0,0.25
2012-01,91.08,5.86,2.51,0.37,0,0.19
2012-02,91.79,5.33,2.38,0.33,0,0.17
2012-03,91.74,5.33,2.44,0.31,0,0.18
2012-04,91.53,5.46,2.49,0.32,0,0.2
2012-05,91.39,5.6,2.49,0.33,0,0.19
2012-06,91.37,5.53,2.4,0.35,0,0.35
2012-07,91.17,5.46,2.43,0.42,0,0.52
2012-08,91.08,5.54,2.47,0.38,0,0.52
2012-09,91.24,5.46,2.39,0.36,0,0.55
2012-10,90.97,5.72,2.41,0.34,0,0.56
2012-11,90.98,5.82,2.34,0.32,0,0.53
2012-12,90.47,6.05,2.47,0.44,0,0.56
2013-01,90.47,6.16,2.41,0.46,0,0.5
2013-02,89.17,7.17,2.72,0.45,0,0.5
2013-03,90.02,6.54,2.75,0.26,0,0.43
2013-04,90.11,6.54,2.73,0.24,0,0.38
