"Date","Google","bing","Yahoo!","WEB.DE","Ask Jeeves","Other"
2008-07,96.9,0,1.58,0.08,0.02,1.4
2008-08,96.98,0,1.39,0.09,0.19,1.34
2008-09,97.18,0,1.24,0.08,0.18,1.32
2008-10,97.1,0,1.25,0.08,0.22,1.36
2008-11,97.15,0,1.33,0.08,0.36,1.08
2008-12,98,0,1.06,0.06,0.22,0.67
2009-01,97.16,0,1.51,0.09,0.31,0.94
2009-02,96.96,0,1.55,0.1,0.34,1.05
2009-03,96.98,0,1.58,0.1,0.23,1.11
2009-04,97.32,0,1.36,0.14,0.18,1
2009-05,97.35,0,1.31,0.18,0.24,0.91
2009-06,97.23,0.77,1.25,0.2,0.21,0.35
2009-07,97.24,0.65,1.29,0.22,0.22,0.38
2009-08,97.3,0.64,1.26,0.24,0.2,0.37
2009-09,97.31,0.61,1.29,0.24,0.2,0.35
2009-10,97.33,0.61,1.25,0.24,0.23,0.33
2009-11,97.38,0.64,1.19,0.25,0.23,0.31
2009-12,97.28,0.76,1.17,0.25,0.23,0.3
2010-01,97.18,0.84,1.15,0.28,0.24,0.31
2010-02,97.41,0.81,1,0.32,0.21,0.26
2010-03,97.21,0.9,1.09,0.32,0.21,0.26
2010-04,97.21,0.86,1.14,0.32,0.18,0.28
2010-05,97.1,0.96,1.16,0.3,0.18,0.29
2010-06,97.07,1.04,1.14,0.3,0.17,0.29
2010-07,96.98,1.22,1.01,0.31,0.18,0.3
2010-08,97.09,1.16,0.96,0.3,0.2,0.29
2010-09,97.07,1.18,0.96,0.29,0.22,0.28
2010-10,97.03,1.18,1.01,0.29,0.24,0.25
2010-11,96.98,1.19,1.09,0.28,0.23,0.23
2010-12,96.82,1.45,0.99,0.27,0.22,0.24
2011-01,96.36,2.09,0.87,0.28,0.18,0.22
2011-02,95.62,2.18,0.97,0.29,0.17,0.77
2011-03,95.71,2.13,0.96,0.28,0.18,0.75
2011-04,95.77,2.1,0.93,0.29,0.18,0.73
2011-05,95.79,2.02,0.92,0.34,0.18,0.76
2011-06,96.31,1.34,1.04,0.33,0.2,0.78
2011-07,95.69,1.89,1.11,0.33,0.24,0.74
2011-08,95.39,1.99,1.34,0.35,0.25,0.69
2011-09,95.22,2.11,1.38,0.35,0.25,0.68
2011-10,95.41,2.03,1.28,0.35,0.26,0.67
2011-11,95.72,1.95,1.17,0.34,0.22,0.6
2011-12,95.58,2.01,1.19,0.4,0.27,0.55
2012-01,95.59,2.04,1.14,0.47,0.25,0.51
2012-02,95.56,2.08,1.18,0.47,0.24,0.47
2012-03,95.45,2.17,1.22,0.46,0.21,0.48
2012-04,95.52,2.13,1.2,0.44,0.22,0.5
2012-05,95.7,2.04,1.11,0.5,0.19,0.47
2012-06,94.99,2,1.09,0.57,0.18,1.17
2012-07,94.28,1.99,1.08,0.63,0.19,1.83
2012-08,94.15,1.89,1.04,0.72,0.18,2.02
2012-09,94.33,1.87,1.02,0.46,0.21,2.11
2012-10,94.35,1.94,1.08,0.4,0.22,2.01
2012-11,94.24,1.99,1.05,0.41,0.24,2.07
2012-12,93.99,2,1.04,0.49,0.42,2.06
2013-01,94.28,1.91,0.94,0.51,0.38,1.98
2013-02,94.32,2.02,0.98,0.57,0.32,1.78
2013-03,95.2,1.69,0.96,0.54,0.14,1.48
2013-04,95.25,1.72,1,0.55,0.11,1.37
