"Date","Google","bing","Yahoo!","Ask Jeeves","AOL","Other"
2008-07,88.9,0,4.36,0.16,0.28,6.3
2008-08,88.34,0,4.83,1.62,2.56,2.65
2008-09,89.98,0,4.1,1.45,2.03,2.44
2008-10,90.57,0,3.96,1.11,1.89,2.47
2008-11,90.52,0,3.9,1.01,1.8,2.78
2008-12,90.73,0,3.91,0.87,1.65,2.85
2009-01,89.93,0,4.53,0.98,1.66,2.91
2009-02,89.71,0,4.62,0.97,1.62,3.08
2009-03,89.49,0,4.61,0.95,1.55,3.39
2009-04,90.54,0,4.39,0.87,1.44,2.76
2009-05,90.74,0,4.3,0.91,1.19,2.88
2009-06,90.87,2.77,4.25,0.87,1.11,0.14
2009-07,90.61,2.78,4.47,0.86,1.15,0.14
2009-08,90.55,2.71,4.55,0.88,1.18,0.14
2009-09,91.74,2.63,3.59,0.84,1.07,0.14
2009-10,92.06,2.74,3.27,0.87,0.93,0.13
2009-11,92.03,2.91,3.19,0.85,0.91,0.12
2009-12,92.22,3.03,2.99,0.78,0.88,0.11
2010-01,92.02,3.09,3.02,0.83,0.92,0.11
2010-02,92.01,3.22,2.9,0.85,0.91,0.1
2010-03,92.13,3.36,2.74,0.83,0.85,0.1
2010-04,92.26,3.27,2.7,0.84,0.83,0.09
2010-05,92.09,3.56,2.66,0.8,0.82,0.08
2010-06,91.92,3.61,2.79,0.8,0.8,0.08
2010-07,92.26,3.67,2.38,0.82,0.8,0.08
2010-08,92.77,3.39,2.25,0.79,0.73,0.07
2010-09,93.18,3.46,2.06,0.72,0.52,0.06
2010-10,93.1,3.57,2.1,0.72,0.47,0.04
2010-11,92.85,3.64,2.38,0.67,0.42,0.04
2010-12,92.66,3.75,2.5,0.64,0.41,0.04
2011-01,92.39,4.18,2.36,0.66,0.38,0.03
2011-02,92.03,4.37,2.39,0.65,0.36,0.19
2011-03,92.14,4.36,2.31,0.64,0.35,0.21
2011-04,92.11,4.25,2.39,0.64,0.37,0.24
2011-05,91.86,4.35,2.22,0.65,0.5,0.41
2011-06,92.62,3.53,2.15,0.63,0.5,0.58
2011-07,91.44,4.55,2.23,0.64,0.51,0.63
2011-08,91.33,4.39,2.45,0.69,0.52,0.62
2011-09,91.34,4.54,2.42,0.69,0.46,0.55
2011-10,91.22,4.75,2.4,0.75,0.44,0.45
2011-11,91.24,4.87,2.39,0.73,0.42,0.36
2011-12,91.4,4.79,2.4,0.78,0.43,0.2
2012-01,91.7,4.77,2.22,0.78,0.42,0.11
2012-02,92.24,4.5,2.13,0.65,0.38,0.1
2012-03,92.3,4.48,2.17,0.59,0.37,0.1
2012-04,92.17,4.42,2.31,0.6,0.38,0.11
2012-05,92.23,4.49,2.27,0.55,0.35,0.1
2012-06,91.81,4.4,2.32,0.56,0.36,0.55
2012-07,91.15,4.62,2.33,0.55,0.38,0.96
2012-08,91.34,4.21,2.39,0.56,0.43,1.06
2012-09,91.4,4.26,2.34,0.54,0.48,0.97
2012-10,91.1,4.59,2.31,0.52,0.46,1.03
2012-11,91.06,4.73,2.27,0.47,0.42,1.05
2012-12,90.57,4.83,2.4,0.65,0.43,1.11
2013-01,90.29,5.25,2.3,0.67,0.43,1.06
2013-02,89.38,5.98,2.57,0.66,0.46,0.95
2013-03,90.46,5.37,2.58,0.38,0.45,0.76
2013-04,90.44,5.33,2.71,0.35,0.45,0.71
