"Date","Google","YANDEX RU","bing","Yahoo!","Rambler","Other"
2008-07,59.25,32,0,2.36,4.58,1.8
2008-08,61.53,30.46,0,1.92,4.61,1.48
2008-09,55.4,36.32,0,1.58,5.25,1.45
2008-10,65.1,32.06,0,1.29,0.43,1.12
2008-11,63.12,34.51,0,1.47,0.01,0.88
2008-12,59.4,38.3,0,1.34,0.04,0.92
2009-01,62.55,34.9,0,1.52,0.06,0.96
2009-02,56.78,40.64,0,1.45,0.06,1.07
2009-03,56.09,40.87,0,1.66,0.11,1.27
2009-04,55.04,41.99,0,1.29,0.42,1.26
2009-05,54.49,42.78,0,1.17,0.32,1.24
2009-06,55.18,41.94,0.78,1.17,0.25,0.68
2009-07,54.85,42.64,0.69,1.15,0.21,0.47
2009-08,56.37,40.98,0.79,1.16,0.2,0.51
2009-09,57.7,39.5,1.01,1.16,0.2,0.44
2009-10,53.41,43.77,1.18,0.97,0.23,0.45
2009-11,58.66,38.5,0.87,0.87,0.64,0.46
2009-12,56.16,40.7,0.93,0.89,0.96,0.35
2010-01,55.03,42.41,0.89,0.9,0.4,0.38
2010-02,56.51,40.59,0.88,1.03,0.6,0.38
2010-03,55.3,41.91,0.9,1.03,0.51,0.35
2010-04,53.72,43.72,0.86,0.99,0.37,0.33
2010-05,52.61,44.63,0.97,0.93,0.53,0.33
2010-06,51.82,45.44,0.96,0.88,0.57,0.32
2010-07,49.96,47.65,0.91,0.65,0.55,0.27
2010-08,49.47,48.18,0.77,0.64,0.7,0.23
2010-09,49.66,48.09,0.75,0.65,0.62,0.22
2010-10,48.63,49.1,0.79,0.65,0.63,0.21
2010-11,48.3,49.49,0.7,0.72,0.58,0.21
2010-12,49.14,48.47,0.82,0.7,0.63,0.23
2011-01,53,44.84,0.78,0.59,0.57,0.21
2011-02,52,46.01,0.78,0.5,0.47,0.23
2011-03,50.7,47.45,0.73,0.46,0.46,0.2
2011-04,52.7,45.34,0.76,0.46,0.52,0.22
2011-05,55.9,41.76,0.91,0.53,0.6,0.3
2011-06,55.22,42.73,0.71,0.55,0.51,0.28
2011-07,55.36,42.83,0.94,0.55,0,0.32
2011-08,55.46,42.62,1.04,0.58,0,0.31
2011-09,56.5,41.58,1.16,0.58,0,0.18
2011-10,58.75,39.27,1.21,0.58,0,0.19
2011-11,58.91,39.21,1.12,0.57,0,0.19
2011-12,56.63,41.41,1.08,0.55,0,0.33
2012-01,55.57,42.38,1.08,0.53,0,0.43
2012-02,55.9,42.34,0.98,0.48,0,0.3
2012-03,55.38,42.93,0.87,0.47,0,0.34
2012-04,55.09,42.77,0.92,0.61,0,0.61
2012-05,55.67,42.16,0.9,0.61,0,0.66
2012-06,56.67,40.91,0.92,0.68,0,0.82
2012-07,56.8,40.83,0.94,0.63,0,0.81
2012-08,58.3,39.33,1.01,0.61,0,0.75
2012-09,58.71,39.18,0.99,0.54,0,0.59
2012-10,58.16,40.03,0.97,0.44,0,0.41
2012-11,58.77,39.34,0.97,0.44,0,0.48
2012-12,58.9,39,1.1,0.47,0,0.52
2013-01,58.1,39.74,1.11,0.46,0,0.59
2013-02,53.4,44.08,1.16,0.53,0,0.84
2013-03,55.13,42.77,1.12,0.52,0,0.45
2013-04,56.24,41.7,1.09,0.53,0,0.44
